CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
TG_LRP2,IGF2_IGF2R,CD44_FGFR2,BDNF_SORT1,CD80_CD274
TG_ASGR1,IGF2_INSR,TFF1_FGFR2,BGN_FGFR3,CD80_CD28
TG_TPO,IGFBP4_FZD8,FGF2_FGFRL1,BGN_TLR2,CD80_CTLA4
SFRP1_FZD2,IGFBP4_LRP6,FGF2_FGFR4,BGN_TLR4,CD99_PILRA
SFRP1_FZD6,IGFL1_IGFLR1,FGF2_FGFR1,BMP10_ACVR2A,CD99_CD99
PLAT_ITGB2,IGFL2_IGFLR1,FGF5_FGFR2,BMP10_ACVRL1,CD99_CD99L2
PLAT_LRP1,IGFL3_IGFLR1,FGF10_FGFR2,BMP10_BMPR1A,CDH1_CDH1
PLAT_ITGAM,NGF_KIDINS220,CADM3_CADM4,BMP10_BMPR1B,CD209_CEACAM1
DKK4_LRP6,NGF_MAGED1,FFAR2_FAM3C,BMP10_BMPR2,CD8A_CEACAM5
DKK4_LRP5,NGF_NGFR,CCR3_CCL8,BMP10_ENG,CEACAM1_CEACAM5
LHB_PTH1R,NGF_NGFRAP1,EPHB1_EFNB3,BMP2_ACVR2A,DSC1_DSG2
LHB_ADCYAP1R1,NGF_NTRK1,EPHB4_EFNB3,BMP2_ACVR2B,DSC2_DSG2
LHB_RAMP2,NGF_SORT1,EPHB1_EFNB1,BMP2_BMPR1A,EFNA4_EPHA1
LHB_VIPR1,PDGFA_PDGFRA,EPHB6_EFNB1,BMP2_BMPR1B,EFNA4_EPHA2
LHB_RAMP3,PDGFA_PDGFRB,NRG1_MS4A4A,BMP2_BMPR2,EFNA4_EPHA3
LHB_GPR20,PDGFB_ART1,NRG3_ERBB4,BMP2_ENG,EFNA4_EPHA4
LHB_ADRB2,PDGFB_ITGAV,SCGB3A1_MARCO,BMP2_RGMB,EFNA5_EPHA1
LHB_ADRB3,PDGFB_LRP1,GPR1_RARRES2,BMP3_ACVR2B,EFNA5_EPHA2
LHB_TSHR,PDGFB_PDGFRA,PROS1_TYRO3,BMP4_BMPR1A,EFNA5_EPHA3
LHB_GPR84,PDGFB_PDGFRB,TNFRSF11B_TNFSF11,BMP4_BMPR1B,EFNA5_EPHA4
LHB_LHCGR,PDGFB_S1PR1,CD70_TNFRSF17,BMP4_BMPR2,EFNA5_EPHB2
AMH_EGFR,PDGFC_FLT1,CD160_TNFRSF14,BMP4_RGMB,EFNB2_EPHA4
AMH_ACVR1,PDGFC_FLT4,VEGFA_KDR,BMP6_ACVR1,EFNB2_EPHB2
AMH_AMHR2,PDGFC_KDR,DLL1_NOTCH3,BMP6_ACVR2A,EFNB2_EPHB3
RETN_GPR25,PDGFC_PDGFRA,DLL1_NOTCH4,BMP6_BMPR1A,EFNB2_EPHB4
EBI3_IL6ST,PDGFC_PDGFRB,JAG1_NOTCH2,BMP6_BMPR1B,ESAM_ESAM
EBI3_IL27RA,PDGFD_PDGFRA,AGRN_NCAM1,BMP6_BMPR2,ICAM1_ITGAL
TGFB1_EGFR,PDGFD_PDGFRB,WNT3_WIF1,BMP7_ACVR1,ICAM1_SPN
TGFB1_ITGB5,PGF_FLT1,WNT2_WIF1,BMP7_ACVR2A,ITGB2_CD226
TGFB1_CXCR4,PGF_NRP1,WNT2B_SFRP2,BMP7_ACVR2B,ITGB2_ICAM1
TGFB1_ITGB1,PGF_NRP2,WNT7B_SFRP2,BMP7_BMPR1A,ITGB2_ICAM2
TGFB1_SDC2,TGFA_EGFR,WNT4_SFRP2,BMP7_BMPR1B,LCK_CD8 receptor
TGFB1_ENG,TGFA_ERBB2,WNT11_SFRP2,BMP7_BMPR2,JAG2_NOTCH2
TGFB1_SMAD3,TGFA_ERBB3,WNT9A_SFRP2,BMP7_ENG,JAG2_NOTCH3
TGFB1_TGFBR2,TGFA_ERBB4,WNT7A_SFRP2,BMP8A_ACVR2A,JAG2_NOTCH4
TGFB1_TGFBR1,TGFB1_ACVRL1,WNT7B_SFRP1,BMP8A_ACVR2B,NRXN1_NLGN3
TGFB1_ACVRL1,TGFB1_CAV1,WNT3_SFRP1,BMP8A_BMPR1A,OCLN_OCLN
TGFB1_ITGB6,TGFB1_CD109,EPO_EPOR,BMP8A_BMPR2,PTPRM_PTPRM
TGFB1_ITGAV,TGFB1_CXCR4,EPHA3_EFNA4,BMP8A_TGFBR1,PVR_CD226
TGFB1_CAV1,TGFB1_ENG,GPR37_PSAP,BMP8A_TGFBR2,PVR_TIGIT
TGFB1_ITGB8,TGFB1_ITGAV,CEACAM8_CEACAM6,BSG_SELE,SEMA4A_PLXNB1
TGFB1_TGFBR3,TGFB1_ITGB6,ROBO3_NELL2,BSG_SLC16A1,SEMA4A_PLXNB2
ICAM5_ITGAL,TGFB1_ITGB8,EDA_EDA2R,BSG_SLC16A7,SEMA4D_PLXNB1
ICAM5_ITGB2,TGFB1_SDC2,UNC5B_NTN4,BST2_LILRA4,SEMA4D_PLXNB2
CEACAM5_CD1D,TGFB1_TGFBR1,DSC1_DSG2,BTC_EGFR,SEMA4D_CD72
COMP_ITGB1,TGFB1_TGFBR2,DSG2_DSC3,BTC_ERBB2,SEMA5A_PLXNA1
COMP_CD36,TGFB1_TGFBR3,RELN_VLDLR,BTC_ERBB3,SEMA5B_PLXNA1
HGF_NRP1,TGFB2_ACVR1,CCR4_CCL17,BTC_ERBB4,SEMA5A_PLXNA3
HGF_MET,TGFB2_ENG,NMU_NMUR1,BTLA_CD79A,SEMA5B_PLXNA3
HGF_CD44,TGFB2_TGFBR1,XCR1_XCL2,BTLA_TNFRSF14,SEMA7A_PLXNC1
